Designator,Mid X,Mid Y,Rotation,Layer
C1,49.275,-53.628,90.0,top
C10,63.881,-44.577,90.0,top
C11,63.754,-57.15,90.0,top
C12,63.754,-69.37,90.0,top
C13,55.88,-53.628,270.0,top
C14,53.848,-53.6228,270.0,top
C15,56.133,-35.835,270.0,top
C16,51.815,-53.6228,270.0,top
C17,58.165,-35.848,90.0,top
C18,92.717815,-45.283415,270.0,top
C19,35.186815,-71.191415,90.0,top
C2,50.037,-37.88,90.0,top
C20,35.814,-43.6815,0.0,top
C21,38.608,-42.9195,90.0,top
C22,38.608,-39.3635,270.0,top
C23,48.246,-68.028,180.0,top
C24,48.218,-63.698415,180.0,top
C25,47.738,-61.920415,270.0,top
C26,38.086,-54.82,0.0,top
C27,45.185,-68.028,0.0,top
C28,35.038,-68.028,180.0,top
C29,40.626,-54.312,90.0,top
C3,45.973,-35.848,270.0,top
C30,34.784,-61.678,270.0,top
C4,65.532,-37.846,180.0,top
C5,65.532,-50.419,180.0,top
C6,65.545,-62.611,180.0,top
C7,54.101,-37.88,90.0,top
C8,45.973,-39.404,90.0,top
C9,52.069,-35.835,90.0,top
D1,31.75,-43.1735,270.0,top
D2,49.77,-58.376,270.0,top
FB1,34.53,-54.82,0.0,top
FB2,38.086,-70.06,180.0,top
J1,87.122,-51.388,270.0,top
L1,35.814,-48.5075,270.0,top
Q1,73.126001,-36.195,180.0,top
Q2,76.479999,-43.053,0.0,top
Q3,73.216,-48.768,180.0,top
Q4,76.479999,-55.372,0.0,top
Q5,73.152,-60.96,180.0,top
Q6,76.39,-67.564,0.0,top
R1,46.735,-53.628,90.0,top
R10,65.278,-57.15,90.0,top
R11,65.278,-69.342,90.0,top
R13,32.011815,-70.683415,270.0,top
R14,33.789815,-71.217415,90.0,top
R15,37.846,-36.5695,180.0,top
R16,34.29,-36.5695,180.0,top
R17,48.246,-66.504,180.0,top
R18,48.246,-65.095415,180.0,top
R19,49.77,-61.17,180.0,top
R2,48.005,-35.835,270.0,top
R20,38.086,-68.028,180.0,top
R22,34.022,-64.218,0.0,top
R23,52.056,-59.837,270.0,top
R3,68.072,-41.148,180.0,top
R4,67.907999,-53.848,180.0,top
R5,67.945,-65.913,180.0,top
R6,67.945,-44.577,180.0,top
R7,67.945,-57.15,180.0,top
R8,67.945,-69.342,180.0,top
R9,65.405,-44.577,90.0,top
U1,51.351,-46.355,0.0,top
U2,41.402,-61.468,90.0,top
U3,41.902002,-70.021,90.0,top
U4,35.306,-40.6335,180.0,top
